Orthogroups	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1	Totals	Domains
OG0000000	0	0	68	68	DDE_5 (61)
OG0000001	0	0	39	39	Y1_Tnp (39)
OG0000002	0	27	1	28	Bac_luciferase (2),Condensation (21),AATase (1),AMP-binding_C (20),PP-binding (20),AMP-binding (20),TubC_N (4),Thioesterase (6),Methyltransf_25 (1),Methyltransf_31 (1),Methyltransf_12 (1),Methyltransf_23 (1),Methyltransf_11 (1),Ketoacyl-synt_C (1),KAsynt_C_assoc (1),ketoacyl-synt (1),Aminotran_3 (2),Acyl_transf_1 (1)
OG0000003	1	25	1	27	DDE_Tnp_4 (19),DDE_Tnp_1 (19),HTH_Tnp_4 (18)
OG0000004	0	27	0	27	PS-DH (10),adh_short (15),KR (18),adh_short_C2 (12),KAsynt_C_assoc (24),Ketoacyl-synt_C (24),PP-binding (23),ketoacyl-synt (24),Acyl_transf_1 (23),Methyltransf_25 (2),Methyltransf_31 (1),Ubie_methyltran (1),Methyltransf_12 (2),Methyltransf_23 (2),Methyltransf_11 (2),Polysacc_synt_2 (1),ADH_N (1),ADH_zinc_N_2 (1),ADH_zinc_N (1),Thioesterase (1),Aminotran_3 (2),Aminotran_1_2 (1)
OG0000005	23	1	2	26	HATPase_c (19),HisKA (19),PAS_8 (5),PAS_9 (10),PAS_4 (6),PAS_3 (11),PAS (7),Ammonium_transp (6),GAF_3 (1),CBS (1),Response_reg (17),GAF (4),GAF_2 (3),dCache_1 (1),HAMP (1),CheB_methylest (1),Hpt (2),MASE1 (2),CHASE (1)
OG0000006	19	5	2	26	EAL (23),GGDEF (22),Response_reg (8),PAS_8 (11),PAS_9 (12),PAS_4 (5),PAS_3 (9),PAS (12),FHA (8),cNMP_binding (1),NMT1 (1),SBP_bac_3 (1),GAF (2),PAS_11 (1)
OG0000007	0	26	0	26	
OG0000008	0	19	1	20	HATPase_c (15),GAF_3 (1),Response_reg (15),GAF (4),GAF_2 (4),HisKA (14),PAS_8 (8),PAS_4 (10),PAS_3 (9),PAS (11),PAS_9 (10),dCache_1 (1),ParD_antitoxin (2),DUF4118 (2),PAS_10 (1),PAS_11 (1)
OG0000009	0	19	1	20	FG-GAP (3),HemolysinCabind (15),Cadherin_4 (2),Cadherin_5 (2),Big_9 (2),Calx-beta (1),DUF4114 (2),SBBP (1),Peptidase_M10_C (1),Peptidase_M10 (1),DUF4394 (1)
OG0000010	1	14	4	19	SNAP (5),TPR_12 (16),TPR_2 (7),TPR_MalT (9),TPR_1 (6),TPR_16 (9),TPR_6 (4),TPR_8 (15),CHAT (17),TPR_3 (5),TPR_10 (16),TPR_7 (16),eIF2A (2),WD40 (3),PD40 (3),ANAPC5 (3)
OG0000011	0	18	0	18	HTH_32 (15),HTH_29 (15),DDE_3 (15),HTH_23 (15)
OG0000012	2	7	7	16	DUF928 (16)
OG0000013	0	2	13	15	DDE_Tnp_IS1 (10),Zn_Tnp_IS1 (9),HTH_Tnp_IS1 (9),DDE_Tnp_IS240 (9)
OG0000014	2	8	4	14	SLH (11),DUF1565 (2),Beta_helix (2),NosD (2)
OG0000015	13	1	0	14	23S_rRNA_IVP (13)
